Perido,Industria,Departamento,Cargo,Región,Sueldo_Min,Sueldo_Max
2025-Q1,"Gas, Petróleo y Minería",IT,Analista funcional,Patagonia,3560545,4470912.7254
2025-Q1,IT,IT,Analista funcional,Buenos Aires,3560551,4258011.79485
2025-Q1,IT,IT,Analista funcional,Cuyo,3275706.92,3917370.851262
2025-Q1,IT,IT,Analista funcional,Litoral,3275706.92,3917370.851262
2025-Q1,IT,IT,Analista funcional,NEA,3133284.88,3747050.379468
2025-Q1,IT,IT,Analista funcional,NOA,3133284.88,3747050.379468
2025-Q1,IT,IT,Analista funcional,Patagonia,3560551,4258011.79485
2025-Q1,Lab & Pharma,IT,Analista funcional,Buenos Aires,3560545,4470912.7254
2025-Q1,Lab & Pharma,IT,Analista funcional,Cuyo,3275701.4,4113239.707368
2025-Q1,Lab & Pharma,IT,Analista funcional,Litoral,3275701.4,4113239.707368
2025-Q1,Lab & Pharma,IT,Analista funcional,NEA,3133279.6,3934403.198352
2025-Q1,Lab & Pharma,IT,Analista funcional,NOA,3133279.6,3934403.198352
2025-Q1,Lab & Pharma,IT,Analista funcional,Patagonia,3560545,4470912.7254
2025-Q1,Manufactura,IT,Analista funcional,Buenos Aires,3265410,4100600
2025-Q1,Manufactura,IT,Analista funcional,Cuyo,3004177.2,3772552
2025-Q1,Manufactura,IT,Analista funcional,Litoral,3004177.2,3772552
2025-Q1,Manufactura,IT,Analista funcional,NEA,2873560.8,3608528
2025-Q1,Manufactura,IT,Analista funcional,NOA,2873560.8,3608528
2025-Q1,Manufactura,IT,Analista funcional,Patagonia,3265410,4100600
2025-Q1,Retail & Comercio,IT,Analista funcional,Buenos Aires,3265399,4100000
2025-Q1,Retail & Comercio,IT,Analista funcional,Cuyo,3004167.08,3772000
2025-Q1,Retail & Comercio,IT,Analista funcional,Litoral,3004167.08,3772000
2025-Q1,Retail & Comercio,IT,Analista funcional,NEA,2873551.12,3608000
2025-Q1,Retail & Comercio,IT,Analista funcional,NOA,2873551.12,3608000
2025-Q1,Retail & Comercio,IT,Analista funcional,Patagonia,3265399,4100000
2025-Q1,Servicios,IT,Analista funcional,Buenos Aires,3266000,4100500
2025-Q1,Servicios,IT,Analista funcional,Cuyo,3004720,3772460
2025-Q1,Servicios,IT,Analista funcional,Litoral,3004720,3772460
2025-Q1,Servicios,IT,Analista funcional,NEA,2874080,3608440
2025-Q1,Servicios,IT,Analista funcional,NOA,2874080,3608440
2025-Q1,Servicios,IT,Analista funcional,Patagonia,3266000,4100500
2025-Q1,Transporte y logística,IT,Analista funcional,Buenos Aires,3265399,4100300.4735
2025-Q1,Transporte y logística,IT,Analista funcional,Cuyo,3004167.08,3772276.43562
2025-Q1,Transporte y logística,IT,Analista funcional,Litoral,3004167.08,3772276.43562
2025-Q1,Transporte y logística,IT,Analista funcional,NEA,2873551.12,3608264.41668
2025-Q1,Transporte y logística,IT,Analista funcional,NOA,2873551.12,3608264.41668
2025-Q1,Transporte y logística,IT,Analista funcional,Patagonia,3265399,4100300.4735
2025-Q1,Automotriz,IT,Arquitecto de Software,Buenos Aires,6608324,7541444
2025-Q1,Automotriz,IT,Arquitecto de Software,Cuyo,6079658.08,6938128.48
2025-Q1,Automotriz,IT,Arquitecto de Software,Litoral,6079658.08,6938128.48
2025-Q1,Automotriz,IT,Arquitecto de Software,NEA,5815325.12,6636470.72
2025-Q1,Automotriz,IT,Arquitecto de Software,NOA,5815325.12,6636470.72
2025-Q1,Automotriz,IT,Arquitecto de Software,Patagonia,6608324,7541444
2025-Q1,Banca & Serv Financieros,IT,Arquitecto de Software,Buenos Aires,6608324,7541444
2025-Q1,Banca & Serv Financieros,IT,Arquitecto de Software,Cuyo,6079658.08,6938128.48
2025-Q1,Banca & Serv Financieros,IT,Arquitecto de Software,Litoral,6079658.08,6938128.48
2025-Q1,Banca & Serv Financieros,IT,Arquitecto de Software,NEA,5815325.12,6636470.72
2025-Q1,Banca & Serv Financieros,IT,Arquitecto de Software,NOA,5815325.12,6636470.72
2025-Q1,Banca & Serv Financieros,IT,Arquitecto de Software,Patagonia,6608324,7541444
2025-Q1,Consumo masivo,IT,Arquitecto de Software,Buenos Aires,5835047,6245660.9325
2025-Q1,Consumo masivo,IT,Arquitecto de Software,Cuyo,5368243.24,5746008.0579
2025-Q1,Consumo masivo,IT,Arquitecto de Software,Litoral,5368243.24,5746008.0579
2025-Q1,Consumo masivo,IT,Arquitecto de Software,NEA,5134841.36,5496181.6206
2025-Q1,Consumo masivo,IT,Arquitecto de Software,NOA,5134841.36,5496181.6206
2025-Q1,Consumo masivo,IT,Arquitecto de Software,Patagonia,5835047,6245660.9325
2025-Q1,"Gas, Petróleo y Minería",IT,Arquitecto de Software,Buenos Aires,6938741,7542000
2025-Q1,"Gas, Petróleo y Minería",IT,Arquitecto de Software,Cuyo,6383641.72,6938640
2025-Q1,"Gas, Petróleo y Minería",IT,Arquitecto de Software,Litoral,6383641.72,6938640
2025-Q1,"Gas, Petróleo y Minería",IT,Arquitecto de Software,NEA,6106092.08,6636960
2025-Q1,"Gas, Petróleo y Minería",IT,Arquitecto de Software,NOA,6106092.08,6636960
2025-Q1,"Gas, Petróleo y Minería",IT,Arquitecto de Software,Patagonia,6938741,7542000
