Unnamed: 0,Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
81,571,2015-10-01 08:06:39,2015-10-01 08:16:11,3207,Oakland Ave,40.7376037,-74.05247829999999,3211,Newark Ave,40.72152515,-74.046304543,24579,Subscriber,1978.0,2,10
82,373,2015-10-01 08:07:26,2015-10-01 08:13:40,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24681,Subscriber,1978.0,1,6
83,504,2015-10-01 08:07:46,2015-10-01 08:16:10,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3195,Sip Ave,40.730742625306576,-74.06378388404845,24399,Subscriber,1990.0,1,8
84,369,2015-10-01 08:08:15,2015-10-01 08:14:25,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24444,Subscriber,1971.0,2,6
85,1596,2015-10-01 08:08:55,2015-10-01 08:35:31,3216,Columbia Park,40.6970299,-74.09693659999999,3195,Sip Ave,40.730742625306576,-74.06378388404845,24587,Subscriber,1963.0,1,27
86,212,2015-10-01 08:08:59,2015-10-01 08:12:31,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24557,Subscriber,1970.0,2,4
87,297,2015-10-01 08:09:21,2015-10-01 08:14:19,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24506,Subscriber,1989.0,1,5
88,731,2015-10-01 08:10:44,2015-10-01 08:22:55,3199,Newport Pkwy,40.7287448,-74.03210820000001,3203,Hamilton Park,40.727595966,-74.044247311,24572,Subscriber,1977.0,2,12
89,405,2015-10-01 08:12:33,2015-10-01 08:19:18,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.730742625306576,-74.06378388404845,24620,Subscriber,1984.0,1,7
90,273,2015-10-01 08:12:52,2015-10-01 08:17:26,3187,Warren St,40.721123600000006,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24414,Subscriber,1976.0,1,5
91,762,2015-10-01 08:13:33,2015-10-01 08:26:16,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3195,Sip Ave,40.730742625306576,-74.06378388404845,24628,Subscriber,1994.0,1,13
92,280,2015-10-01 08:14:00,2015-10-01 08:18:40,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24402,Subscriber,1981.0,2,5
93,588,2015-10-01 08:14:26,2015-10-01 08:24:15,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24434,Subscriber,1984.0,2,10
94,108,2015-10-01 08:15:53,2015-10-01 08:17:42,3199,Newport Pkwy,40.7287448,-74.03210820000001,3202,Newport PATH,40.7272235,-74.03375890000001,24571,Subscriber,1980.0,1,2
95,718,2015-10-01 08:17:08,2015-10-01 08:29:06,3183,Exchange Place,40.7162469,-74.0334588,3209,Brunswick St,40.7241765,-74.05065640000001,24639,Subscriber,1970.0,1,12
96,651,2015-10-01 08:17:09,2015-10-01 08:28:00,3212,Christ Hospital,40.734785818,-74.050443636,3195,Sip Ave,40.730742625306576,-74.06378388404845,24481,Subscriber,1979.0,1,11
97,470,2015-10-01 08:17:19,2015-10-01 08:25:09,3202,Newport PATH,40.7272235,-74.03375890000001,3184,Paulus Hook,40.7141454,-74.0335519,24606,Subscriber,1975.0,1,8
98,242,2015-10-01 08:17:36,2015-10-01 08:21:39,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24419,Subscriber,1980.0,1,4
99,495,2015-10-01 08:17:36,2015-10-01 08:25:51,3199,Newport Pkwy,40.7287448,-74.03210820000001,3184,Paulus Hook,40.7141454,-74.0335519,24662,Subscriber,1976.0,1,8
100,786,2015-10-01 08:17:39,2015-10-01 08:30:46,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24647,Subscriber,1989.0,1,13
101,636,2015-10-01 08:18:39,2015-10-01 08:29:15,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3195,Sip Ave,40.730742625306576,-74.06378388404845,24602,Customer,1984.0,0,11
102,684,2015-10-01 08:18:55,2015-10-01 08:30:20,3199,Newport Pkwy,40.7287448,-74.03210820000001,3183,Exchange Place,40.7162469,-74.0334588,24508,Subscriber,1980.0,1,11
103,753,2015-10-01 08:19:11,2015-10-01 08:31:44,3199,Newport Pkwy,40.7287448,-74.03210820000001,3184,Paulus Hook,40.7141454,-74.0335519,24593,Subscriber,1977.0,2,13
104,346,2015-10-01 08:19:22,2015-10-01 08:25:08,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.730742625306576,-74.06378388404845,24715,Subscriber,1962.0,1,6
105,223,2015-10-01 08:19:24,2015-10-01 08:23:07,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.730742625306576,-74.06378388404845,24420,Subscriber,1981.0,1,4
106,783,2015-10-01 08:20:45,2015-10-01 08:33:49,3210,Pershing Field,40.742677141,-74.051788633,3202,Newport PATH,40.7272235,-74.03375890000001,24531,Subscriber,1983.0,1,13
107,256,2015-10-01 08:22:02,2015-10-01 08:26:18,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.730742625306576,-74.06378388404845,24430,Customer,1984.0,0,4
108,569,2015-10-01 08:22:48,2015-10-01 08:32:17,3209,Brunswick St,40.7241765,-74.05065640000001,3199,Newport Pkwy,40.7287448,-74.03210820000001,24581,Subscriber,1989.0,1,9
109,896,2015-10-01 08:23:23,2015-10-01 08:38:19,3210,Pershing Field,40.742677141,-74.051788633,3183,Exchange Place,40.7162469,-74.0334588,24629,Subscriber,1976.0,1,15
