Anio,Mes,Periodo,Dia,Fecha,Franja_Horaria,Tipo,Subtipo,Uso_Arma,Uso_Moto,Barrio,Comuna,Cantidad
2016,Febrero,Feb-2016,Lunes,2016-02-08,0,Robo,Robo automotor,si,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Jueves,2016-02-18,2,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Domingo,2016-02-21,5,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-22,2,Robo,Robo total,si,no,LINIERS,9,1
2016,Febrero,Feb-2016,Jueves,2016-02-04,18,Robo,Robo total,no,si,VERSALLES,10,1
2016,Febrero,Feb-2016,Jueves,2016-02-18,8,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Domingo,2016-02-28,8,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Miércoles,2016-02-10,18,Robo,Robo automotor,si,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-01,9,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Sábado,2016-02-13,20,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-08,0,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-03,7,Robo,Robo total,si,no,LINIERS,9,1
2016,Febrero,Feb-2016,Sábado,2016-02-06,3,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Viernes,2016-02-05,4,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Domingo,2016-02-14,0,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Sábado,2016-02-13,18,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Jueves,2016-02-25,7,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Jueves,2016-02-04,12,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-29,0,Robo,Robo total,no,no,LINIERS,9,1
